timestamp(ms),rx1 ,rx2 ,rx3 ,rx4 ,rx5 ,rx6 ,rx7 ,rx8 ,
"1712614902.664",,"1068","1464","1464","1052",,,,
"1712614902.665",,,,,,"1416","1608","1508",
"1712614902.686","1456","1068","1460","1468",,,,,
"1712614902.687",,,,,"1048","1420","1604","1508",
"1712614902.708","1460","1064","1464",,,,,,
"1712614902.709",,,,"1464","1048","1420","1608",,
"1712614902.71",,,,,,,,"1508",
"1712614902.73","1460","1068",,,,,,,
"1712614902.731",,,"1460","1464","1052","1416",,,
"1712614902.732",,,,,,,"1608","1508",
"1712614902.752","1456","1068",,,,,,,
"1712614902.753",,,"1464","1468","1048",,,,
"1712614902.754",,,,,,"1420","1604","1508",
"1712614902.774","1460",,,,,,,,
"1712614902.775",,"1064","1464","1464",,,,,
"1712614902.776",,,,,"1048","1420","1604","1508",
"1712614902.797","1460","1064","1464","1464",,,,,
"1712614902.798",,,,,"1052","1416","1608",,
"1712614902.799",,,,,,,,"1508",
"1712614902.819","1456","1068","1464",,,,,,
"1712614902.82",,,,"1464","1048","1420","1604",,
"1712614902.821",,,,,,,,"1508",
"1712614902.841","1460","1064",,,,,,,
"1712614902.842",,,"1464","1468","1048","1420",,,
"1712614902.843",,,,,,,"1604","1512",
"1712614902.863","1456",,,,,,,,
"1712614902.864",,"1068","1464","1464","1052",,,,
"1712614902.865",,,,,,"1416","1608","1508",
"1712614902.885","1460",,,,,,,,
"1712614902.886",,"1064","1464","1464",,,,,
"1712614902.887",,,,,"1048","1416","1608","1504",
"1712614902.908","1456","1064","1464",,,,,,
"1712614902.909",,,,"1464","1052","1420","1608",,
"1712614902.91",,,,,,,,"1508",
"1712614902.93","1460","1064","1464",,,,,,
"1712614902.931",,,,"1468","1048","1416",,,
"1712614902.932",,,,,,,"1608","1508",
"1712614902.952","1460","1068",,,,,,,
"1712614902.953",,,"1460","1468","1052",,,,
"1712614902.954",,,,,,"1416","1608","1508",
"1712614902.974","1460",,,,,,,,
"1712614902.975",,"1064","1464","1464","1052",,,,
"1712614902.976",,,,,,"1416","1604","1508",
"1712614902.997","1460","1068","1460","1468",,,,,
"1712614902.998",,,,,"1048","1420","1608",,
"1712614902.999",,,,,,,,"1508",
"1712614903.019","1456","1068","1464",,,,,,
"1712614903.02",,,,"1464","1048","1420","1604",,
"1712614903.021",,,,,,,,"1508",
"1712614903.041","1460","1064",,,,,,,
"1712614903.042",,,"1464","1464","1048","1420",,,
"1712614903.043",,,,,,,"1604","1508",
"1712614903.063","1460",,,,,,,,
"1712614903.064",,"1064","1464","1464","1052",,,,
"1712614903.065",,,,,,"1416","1608","1508",
"1712614903.085","1464",,,,,,,,
"1712614903.086",,"1060","1464","1468",,,,,
"1712614903.087",,,,,"1048","1416","1608","1508",
"1712614903.108","1456","1068","1460","1468",,,,,
"1712614903.109",,,,,"1048","1420","1604",,
"1712614903.11",,,,,,,,"1508",
"1712614903.13","1456","1068","1464",,,,,,
"1712614903.131",,,,"1464","1048","1420",,,
"1712614903.132",,,,,,,"1604","1508",
"1712614903.152","1456","1068",,,,,,,
"1712614903.153",,,"1464","1464","1048","1420",,,
"1712614903.154",,,,,,,"1604","1508",
"1712614903.174","1460",,,,,,,,
"1712614903.175",,"1064","1464","1464","1048",,,,
"1712614903.176",,,,,,"1420","1608","1508",
"1712614903.197","1460","1064","1464","1464",,,,,
"1712614903.198",,,,,"1052","1416","1608","1508",
"1712614903.219","1460","1064","1464",,,,,,
